City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Atuona,PF,78.8,few clouds,-9.8,-139.0333,Villa Enata
5,Manggar,ID,81.72,overcast clouds,-2.8833,108.2667,Guest Hotel
7,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
14,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,People ThankYou
30,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
32,Honiara,SB,85.28,overcast clouds,-9.4333,159.95,Heritage Park Hotel
33,Dingle,PH,83.75,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
38,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
40,New Norfolk,AU,77.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
44,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
50,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
54,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
55,Boyolangu,ID,85.75,broken clouds,-8.1181,111.8935,Yos ega cv
59,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
63,Mahanoro,MG,75.11,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
64,Trincomalee,LK,80.4,broken clouds,8.5711,81.2335,Welcombe Hotel
66,Codrington,AU,83.08,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
68,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
72,Hobart,AU,78.22,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
74,Siocon,PH,86.54,overcast clouds,7.7061,122.1353,ABS Hotel
75,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
76,Acajutla,SV,79.81,few clouds,13.5928,-89.8275,Laureles
77,Mahina,PF,85.75,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
87,Klang,MY,82.54,few clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
88,Butaritari,KI,81.84,moderate rain,3.0707,172.7902,Isles Sunset Lodge
93,Arraial Do Cabo,BR,75.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
107,Weligama,LK,80.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
110,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
111,Cabatuan,PH,84.58,broken clouds,10.8794,122.486,MVC Transient Room
114,Yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
116,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
120,Moerai,PF,80.02,light rain,-22.4333,-151.3333,Le Manotel
121,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
124,Kediri,ID,84.15,overcast clouds,-7.8167,112.0167,Grand Surya Hotel Kediri
125,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
129,Cockburn Town,TC,76.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
133,Kavaratti,IN,77.65,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,Matara,LK,80.56,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
139,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
145,Tuy Hoa,VN,77.32,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
148,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,Hotel Juba
150,Voh,NC,81.63,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
154,Nelson Bay,AU,77.29,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
155,Beruwala,LK,78.73,overcast clouds,6.4788,79.9828,The Palms Hotel
165,Kendari,ID,84.56,heavy intensity rain,-3.945,122.4989,Hotel Wixel
171,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
172,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
174,Buchanan,LR,77.54,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
179,Loandjili,CG,75.31,few clouds,-4.7561,11.8578,Résidence ARCHANGE
181,Labuhan,ID,81.77,overcast clouds,-6.8844,112.2051,DoubleFAG
186,Luganville,VU,85.08,light rain,-15.5333,167.1667,The Espiritu Hotel
187,Faanui,PF,81.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,Sola,VU,82.92,light rain,-13.8833,167.55,Leumerus Bungalows
195,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
197,Takoradi,GH,78.87,overcast clouds,4.8845,-1.7554,Raybow International Hotel
206,Ugoofaaru,MV,80.74,broken clouds,5.6667,73.0,Ungoofaaru Inn
208,Lucea,JM,78.66,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
210,Biak,ID,83.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
215,Bonthe,SL,76.69,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
219,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
229,Katherine,AU,86.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
235,Monkey Hill,KN,76.86,broken clouds,17.3167,-62.7167,St. Kitts Marriott Resort & The Royal Beach Casino
245,Ulladulla,AU,75.87,scattered clouds,-35.35,150.4667,Sandpiper Motel
249,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
253,Launceston,AU,77.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
257,Bengkulu,ID,81.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
266,Newcastle,AU,76.98,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
268,Port Keats,AU,87.84,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
273,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
278,Ilhabela,BR,75.81,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
281,Luwuk,ID,85.1,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
308,Aneho,TG,79.0,broken clouds,6.2333,1.6,Hotel La Linette
317,Samarinda,ID,86.56,moderate rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
319,San Carlos,VE,79.2,broken clouds,9.6612,-68.5827,Hotel Paternopoli
320,Lorengau,PG,83.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
321,Mount Gambier,AU,87.71,clear sky,-37.8333,140.7667,The Commodore
327,Abonnema,NG,77.32,clear sky,4.7084,6.7931,Corper's Lodge Obonoma
328,Bowen,AU,84.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
330,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
332,Santiago,CL,75.29,clear sky,-33.4569,-70.6483,Hotel Panamericano
