City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,60.46,67,75,12.66,broken clouds
1,Cuorgne,IT,45.3895,7.6499,48.42,70,29,8.39,scattered clouds
2,Kodiak,US,57.79,-152.4072,36.91,48,100,5.75,overcast clouds
3,Atuona,PF,-9.8,-139.0333,78.8,77,12,17.09,few clouds
4,Victoria,HK,22.2855,114.1577,65.97,89,100,1.01,overcast clouds
5,Manggar,ID,-2.8833,108.2667,81.72,79,100,8.63,overcast clouds
6,Albany,US,42.6001,-73.9662,21.31,76,10,4.18,clear sky
7,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,94,14.65,light rain
8,Baijiantan,CN,45.6333,85.1833,4.64,87,5,3.67,clear sky
9,Sept-Iles,CA,50.2001,-66.3821,4.05,79,100,5.75,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,60.48,34,8,2.75,clear sky
11,Kaitangata,NZ,-46.2817,169.8464,59.94,79,52,8.32,broken clouds
12,Kununurra,AU,-15.7667,128.7333,84.18,79,40,5.75,scattered clouds
13,Fangshan,CN,39.6983,115.9925,35.46,25,100,2.68,overcast clouds
14,Mahebourg,MU,-20.4081,57.7,77.29,94,75,3.44,broken clouds
15,Sur,OM,22.5667,59.5289,69.42,65,0,11.61,clear sky
16,Half Moon Bay,US,37.4636,-122.4286,61.92,68,0,1.01,clear sky
17,Birao,CF,10.2849,22.7882,62.31,16,5,9.15,clear sky
18,Khatanga,RU,71.9667,102.5,-17.07,98,99,9.6,overcast clouds
19,Santander,ES,43.4647,-3.8044,50.47,57,20,5.01,few clouds
20,Qaanaaq,GL,77.484,-69.3632,-11.67,59,29,7.25,scattered clouds
21,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,6.91,broken clouds
22,Chokurdakh,RU,70.6333,147.9167,-39.73,99,79,3.85,broken clouds
23,Capaci,IT,38.1711,13.2393,55.0,75,20,1.01,few clouds
24,Barrow,US,71.2906,-156.7887,-27.38,68,0,12.66,clear sky
25,Mar Del Plata,AR,-38.0023,-57.5575,65.08,82,40,5.01,scattered clouds
26,Olafsvik,IS,64.8945,-23.7142,29.12,92,100,37.27,heavy snow
27,Pyaozerskiy,RU,65.8333,31.1667,18.18,94,100,8.72,overcast clouds
28,Noyabrsk,RU,63.1994,75.4507,-15.09,100,71,6.96,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,79.02,72,16,18.75,few clouds
30,Carnarvon,AU,-24.8667,113.6333,78.87,36,6,21.85,clear sky
31,Naze,JP,28.3667,129.4833,56.32,59,100,4.76,light rain
32,Honiara,SB,-9.4333,159.95,85.28,74,100,7.43,overcast clouds
33,Dingle,PH,10.9995,122.6711,83.75,63,48,15.41,scattered clouds
34,Pacific Grove,US,36.6177,-121.9166,62.55,73,0,1.99,clear sky
35,Hohhot,CN,40.8106,111.6522,19.69,30,0,6.71,clear sky
36,East London,ZA,-33.0153,27.9116,71.38,82,100,7.52,overcast clouds
37,College,US,64.8569,-147.8028,-3.42,78,100,0.0,overcast clouds
38,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,0,6.91,clear sky
39,Severo-Kurilsk,RU,50.6789,156.125,31.5,83,100,10.07,overcast clouds
40,New Norfolk,AU,-42.7826,147.0587,77.88,31,0,4.0,clear sky
41,Clyde River,CA,70.4692,-68.5914,-34.37,67,0,8.05,clear sky
42,Dikson,RU,73.5069,80.5464,-13.05,97,100,16.33,overcast clouds
43,Fairfield,US,41.2668,-73.3162,29.75,79,40,0.0,scattered clouds
44,Kapaa,US,22.0752,-159.319,80.58,71,40,1.99,scattered clouds
45,Thunder Bay,CA,48.4001,-89.3168,9.28,75,75,6.91,broken clouds
46,Haradok,BY,55.4624,29.9816,31.46,98,100,13.8,light snow
47,Ribeira Grande,PT,38.5167,-28.7,61.07,83,9,16.02,clear sky
48,Bredasdorp,ZA,-34.5322,20.0403,65.28,88,13,5.75,few clouds
49,Meulaboh,ID,4.1363,96.1285,78.46,83,100,2.55,overcast clouds
50,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,3.44,light rain
51,Lebanon,US,36.2081,-86.2911,39.45,78,40,0.0,scattered clouds
52,Pimentel,PE,-6.8367,-79.9342,70.66,80,97,11.1,overcast clouds
53,San Jeronimo,PE,-11.9472,-75.2829,49.35,85,100,1.07,light rain
54,Iquitos,PE,-3.7481,-73.2472,77.04,94,40,2.3,scattered clouds
55,Boyolangu,ID,-8.1181,111.8935,85.75,68,72,6.76,broken clouds
56,Cabo San Lucas,MX,22.8909,-109.9124,66.51,72,20,6.91,few clouds
57,Viedma,AR,-40.8135,-62.9967,61.52,73,0,9.26,clear sky
58,Chuy,UY,-33.6971,-53.4616,63.79,74,41,15.66,scattered clouds
59,Grand Gaube,MU,-20.0064,57.6608,77.4,86,100,1.99,overcast clouds
60,Tasiilaq,GL,65.6145,-37.6368,23.16,53,100,60.31,light snow
61,Jamestown,US,42.097,-79.2353,29.79,45,0,10.36,clear sky
62,Chany,RU,55.3121,76.7647,-6.54,93,67,6.13,broken clouds
63,Mahanoro,MG,-19.9,48.8,75.11,87,100,5.79,overcast clouds
64,Trincomalee,LK,8.5711,81.2335,80.4,70,74,11.86,broken clouds
65,Lowestoft,GB,52.4752,1.7516,38.95,81,6,17.76,clear sky
66,Codrington,AU,-38.2667,141.9667,83.08,30,0,13.8,clear sky
67,Hilo,US,19.7297,-155.09,74.93,78,100,8.05,light rain
68,Avarua,CK,-21.2078,-159.775,78.85,78,75,11.5,broken clouds
69,Tyret Pervaya,RU,53.6703,102.3106,14.58,90,99,3.33,overcast clouds
70,Hermanus,ZA,-34.4187,19.2345,65.8,92,66,4.25,broken clouds
71,Saldanha,ZA,-33.0117,17.9442,62.65,99,35,7.87,scattered clouds
72,Hobart,AU,-42.8794,147.3294,78.22,44,20,1.01,few clouds
73,Pangnirtung,CA,66.1451,-65.7125,-38.09,96,100,4.47,overcast clouds
74,Siocon,PH,7.7061,122.1353,86.54,62,94,6.11,overcast clouds
75,Kahului,US,20.8947,-156.47,80.62,59,0,23.02,clear sky
76,Acajutla,SV,13.5928,-89.8275,79.81,64,19,4.76,few clouds
77,Mahina,PF,-17.5065,-149.489,85.75,65,75,6.91,broken clouds
78,Faya,SA,18.3851,42.4509,48.72,84,9,3.42,clear sky
79,Salalah,OM,17.0151,54.0924,73.49,27,0,6.91,clear sky
80,Rayevskiy,RU,54.0658,54.9468,14.61,97,100,2.24,light snow
81,Lar,IN,26.2039,83.9717,56.01,72,0,4.03,clear sky
82,Bozoum,CF,6.3193,16.3799,64.49,28,4,2.21,clear sky
83,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,3.44,clear sky
84,Berdigestyakh,RU,62.0989,126.6992,-14.22,95,57,4.25,broken clouds
85,Esperance,AU,-33.8667,121.9,73.24,53,18,28.1,few clouds
86,Verkhnyaya Inta,RU,65.9811,60.3094,9.79,82,100,6.69,overcast clouds
87,Klang,MY,3.0333,101.45,82.54,78,20,5.75,few clouds
88,Butaritari,KI,3.0707,172.7902,81.84,76,71,15.43,moderate rain
89,Vardo,NO,70.3705,31.1107,23.14,82,59,20.94,broken clouds
90,Rio Blanco,MX,18.8333,-97.15,57.65,91,71,0.78,broken clouds
91,Busselton,AU,-33.65,115.3333,67.08,51,70,20.04,broken clouds
92,Tabas,IR,33.5959,56.9244,43.79,40,0,1.88,clear sky
93,Arraial Do Cabo,BR,-22.9661,-42.0278,75.36,92,0,18.75,clear sky
94,Castro,BR,-24.7911,-50.0119,61.56,84,2,2.1,clear sky
95,Newport,GB,51.5877,-2.9984,44.85,81,54,10.56,broken clouds
96,Richards Bay,ZA,-28.783,32.0377,71.53,90,81,2.59,light rain
97,Babushkin,RU,51.7122,105.8647,22.3,80,69,1.61,broken clouds
98,Upernavik,GL,72.7868,-56.1549,-14.49,100,100,8.41,overcast clouds
99,Sunrise Manor,US,36.2111,-115.0731,60.89,18,0,10.36,clear sky
100,Oranjemund,NA,-28.55,16.4333,66.07,75,6,3.06,clear sky
101,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,20,1.99,few clouds
102,Cape Town,ZA,-33.9258,18.4232,64.27,88,75,1.01,broken clouds
103,Jardim,BR,-21.4803,-56.1381,70.3,82,73,4.12,broken clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,12.66,broken clouds
105,Stanislav,UA,46.5691,32.1478,32.18,88,45,15.08,scattered clouds
106,Necochea,AR,-38.5473,-58.7368,60.04,72,66,10.27,broken clouds
